P 8.9383812644 11.6411612591 0 1 2
P 13.2256127844 10.3469649154 1 100 5
P 4.6511497445 12.9353576027 2 100 5
P 13.2720868947 15.3894729723 0 33 1
P 4.6046756341 7.8928495459 0 33 1
P 0.8047798056 17.0862530363 0 53 1
P 17.0719827232 6.1960694819 0 53 1
P 11.0096882596 23.2823225182 0 64 2
P 6.8670742693 0.0000000000 0 64 2
P 0.0000000000 22.6371634075 0 6 4
P 17.8767625288 0.6451591107 0 6 4
P 10.9891654267 6.9494070220 0 50 5
P 6.8875971022 16.3329154962 0 50 5
P 2.8990013985 8.0524197370 0 52 5
P 14.9777611303 15.2299027812 0 52 5
P 11.5762048120 2.7268865382 0 63 2
P 6.3005577169 20.5554359800 0 63 2
P 15.5510228349 4.4847224636 0 7 2
P 2.3257396940 18.7976000546 0 7 2
P 17.5302541934 15.9390601925 0 82 2
P 0.3465083355 7.3432623257 0 82 2
P 14.5907233090 6.5780346759 0 7 1
P 3.2860392198 16.7042878422 0 7 1
